ID_author,ID_paper,link,name,organization
152,39,https://scholar.google.com/citations?user=GaYmpIgAAAAJ&hl=de&oi=sra,Xuechen Li,Stanford University
154,39,https://scholar.google.com/citations?user=pouyVyUAAAAJ&hl=de&oi=sra,Percy Liang,Stanford University
155,39,https://scholar.google.com/citations?user=5ygiTwsAAAAJ&hl=de&oi=sra,Tatsunori Hashimoto,Stanford
156,40,https://scholar.google.com/citations?user=0r7Syh0AAAAJ&hl=de&oi=sra,Emilio Ferrara,University of Southern California
157,41,https://scholar.google.com/citations?user=bO7H0DAAAAAJ&hl=de&oi=sra,Stella Biderman,Booz Allen Hamilton
158,41,https://scholar.google.com/citations?user=XLahYIYAAAAJ&hl=de&oi=sra,Hailey Schoelkopf,Organization not found
159,42,https://scholar.google.com/citations?user=XaeN2zgAAAAJ&hl=de&oi=sra,Yiqiu Shen,New York University
161,43,https://scholar.google.com/citations?user=sRGO-EcAAAAJ&hl=de&oi=sra,Guangxuan Xiao,MIT
162,43,https://scholar.google.com/citations?user=dVtzVVAAAAAJ&hl=de&oi=sra,Ji Lin,Startseite
163,43,https://scholar.google.com/citations?user=q0HcS1YAAAAJ&hl=de&oi=sra,Mickael Seznec,NVIDIA
166,44,https://scholar.google.com/citations?user=xaQuPloAAAAJ&hl=de&oi=sra,Dale Schuurmans,Startseite
167,45,https://scholar.google.com/citations?user=VE5F0GIAAAAJ&hl=de&oi=sra,Wei Wei,University of Hong Kong
168,45,https://scholar.google.com/citations?user=mxtvnNUAAAAJ&hl=de&oi=sra,Xubin Ren,University of Hong Kong
169,45,https://scholar.google.com/citations?user=GUXIfJgAAAAJ&hl=de&oi=sra,Jiabin Tang,University of Hong Kong
171,45,https://scholar.google.com/citations?user=UWL6KAcAAAAJ&hl=de&oi=sra,Lixin Su,Baidu Inc
172,46,https://scholar.google.com/citations?user=xQucuooAAAAJ&hl=de&oi=sra,Laria Reynolds,Organization not found
174,47,https://scholar.google.com/citations?user=i9-GzNYAAAAJ&hl=de&oi=sra,Valts Blukis,NVIDIA
175,47,https://scholar.google.com/citations?user=fcA9m88AAAAJ&hl=de&oi=sra,Arsalan Mousavian,Startseite
176,47,https://scholar.google.com/citations?user=RhN6jKIAAAAJ&hl=de&oi=sra,Ankit Goyal,NVIDIA
179,48,https://scholar.google.com/citations?user=jVRSR5AAAAAJ&hl=de&oi=sra,Juro Gottweis,Google
180,48,https://scholar.google.com/citations?user=ebpx7LAAAAAJ&hl=de&oi=sra,Rory Sayres,Google
181,49,https://scholar.google.com/citations?user=ZEDT0-cAAAAJ&hl=de&oi=sra,Ali Madani,Startseite
182,49,https://scholar.google.com/citations?user=ONNif60AAAAJ&hl=de&oi=sra,Ben Krause,Startseite
183,49,https://scholar.google.com/citations?user=pKxedkEAAAAJ&hl=de&oi=sra,Eric R Greene,Organization not found
186,50,https://scholar.google.com/citations?user=WXOaxKMAAAAJ&hl=de&oi=sra,Aston Zhang,Startseite
187,50,https://scholar.google.com/citations?user=Z_WrhK8AAAAJ&hl=de&oi=sra,Mu Li,Amazon
189,51,https://scholar.google.com/citations?user=faiFBhoAAAAJ&hl=de&oi=sra,Antonia Creswell,Startseite
190,51,https://scholar.google.com/citations?user=00bnGpAAAAAJ&hl=de&oi=sra,Murray Shanahan,Imperial College London
192,52,https://scholar.google.com/citations?user=01-XV0YAAAAJ&hl=de&oi=sra,Michal Kosinski,Stanford University
193,53,https://scholar.google.com/citations?user=l3ZOsHkAAAAJ&hl=de&oi=sra,Maciej Besta,ETH Zurich
194,53,https://scholar.google.com/citations?user=Ev70I7cAAAAJ&hl=de&oi=sra,Nils Blach,ETH Zurich
196,54,https://scholar.google.com/citations?user=SL-AdukAAAAJ&hl=de&oi=sra,Zhiwei He,Shanghai Jiao Tong University
197,54,https://scholar.google.com/citations?user=Z6bZcT4AAAAJ&hl=de&oi=sra,Tian Liang,Tsinghua University
200,54,https://scholar.google.com/citations?user=4gH3sxsAAAAJ&hl=de&oi=sra,Yujiu Yang,Tsinghua university
201,55,https://scholar.google.com/citations?user=X1Pm-y4AAAAJ&hl=de&oi=sra,Sami Sarsa,Aalto University
202,55,https://scholar.google.com/citations?user=KS4THtEAAAAJ&hl=de&oi=sra,Paul Denny,University of Auckland
203,55,https://scholar.google.com/citations?user=msHyuXsAAAAJ&hl=de&oi=sra,Arto Hellas,Aalto University
204,55,https://scholar.google.com/citations?user=mRn2oboAAAAJ&hl=de&oi=sra,Juho Leinonen,Aalto University
205,56,https://scholar.google.com/citations?user=WQevZugAAAAJ&hl=de&oi=sra,Morgan Cheatham,Brown University
206,57,https://scholar.google.com/citations?user=PTYxORcAAAAJ&hl=de&oi=sra,Yining Hong,Startseite
207,57,https://scholar.google.com/citations?user=_btLQY0AAAAJ&hl=de&oi=sra,Haoyu Zhen,Startseite
208,57,https://scholar.google.com/citations?user=KkpEXpsAAAAJ&hl=de&oi=sra,Peihao Chen,UMass Amherst
210,58,https://scholar.google.com/citations?user=OA_UdcIAAAAJ&hl=de&oi=sra,Taicheng Guo,University of Notre Dame
211,58,https://scholar.google.com/citations?user=k1nZE2sAAAAJ&hl=de&oi=sra,Bozhao Nan,University of Notre Dame
213,58,https://scholar.google.com/citations?user=BOFfWR0AAAAJ&hl=de&oi=sra,Zhichun Guo,University of Notre Dame
214,59,https://scholar.google.com/citations?user=wYEAchYAAAAJ&hl=de&oi=sra,Yue Zhang,Soochow University
215,59,https://scholar.google.com/citations?user=gEceD-sAAAAJ&hl=de&oi=sra,Yafu Li,Startseite
216,59,https://scholar.google.com/citations?user=6YVwZgkAAAAJ&hl=de&oi=sra,Leyang Cui,Startseite
217,59,https://scholar.google.com/citations?user=KpbRLYcAAAAJ&hl=de&oi=sra,Deng CAI,Chinese University of Hong Kong
218,59,https://scholar.google.com/citations?user=lCvNOg4AAAAJ&hl=de&oi=sra,Lemao Liu,Startseite
219,59,https://scholar.google.com/citations?user=bv_8Q_kAAAAJ&hl=de&oi=sra,Tingchen Fu,Renmin University of China
221,60,https://scholar.google.com/citations?user=bGB6wacAAAAJ&hl=de&oi=sra,Yuqi Xie,University of Texas at Austin
222,60,https://scholar.google.com/citations?user=s8Epvl4AAAAJ&hl=de&oi=sra,Yunfan Jiang,Stanford University
223,60,https://scholar.google.com/citations?user=MEz23joAAAAJ&hl=de&oi=sra,Ajay Mandlekar,NVIDIA
224,60,https://scholar.google.com/citations?user=Juoqtj8AAAAJ&hl=de&oi=sra,Chaowei Xiao,Startseite
225,61,https://scholar.google.com/citations?user=h5XtaUUAAAAJ&hl=de&oi=sra,Dongxu Li,Startseite
226,61,https://scholar.google.com/citations?user=ImpbxLsAAAAJ&hl=de&oi=sra,Silvio Savarese,Stanford University
227,61,https://scholar.google.com/citations?user=JoLjflYAAAAJ&hl=de&oi=sra,Steven C.H. Hoi,SMU
228,62,https://scholar.google.com/citations?user=8nBHC24AAAAJ&hl=de&oi=sra,Mike Perkins,Startseite
229,63,https://scholar.google.com/citations?user=sw4Brb4AAAAJ&hl=de&oi=sra,Francesco Baglivo,Startseite
230,63,https://scholar.google.com/citations?user=eKppf-IAAAAJ&hl=de&oi=sra,Guglielmo Arzilli,University of Pisa
231,63,https://scholar.google.com/citations?user=NHAY_moAAAAJ&hl=de&oi=sra,g privitera,University of Pisa
232,64,https://scholar.google.com/citations?user=IGZZD-UAAAAJ&hl=de&oi=sra,Brady D. Lund,University of North Texas
233,64,https://scholar.google.com/citations?user=G6WnomcAAAAJ&hl=de&oi=sra,Ting Wang,Emporia State University
234,64,https://scholar.google.com/citations?user=NUhho98AAAAJ&hl=de&oi=sra,Nishith Reddy Mannuru,Univeristy of North Texas
